name,type,budget,url,headline,text,description,image_hash,stories_image_hash,video_id,cta,pixel_id,cbo_enabled,age_min,start_time,url_tags,adset_name,ad_name
VENDAS_COMPRA_KIT-NR-1_MAR-26_AD01,sales,50,https://metodobelieve.com.br/kit-nr-1/,"Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.","PARE DE TRAVAR NA HORA DE VENDER NR-1 PARA EMPRESAS.\n\nUse o meu kit profissional pronto para abordar, apresentar, precificar e fechar contratos com as empresas.\n\nCopie a minha estrutura validada de vendas, ajuste para o seu perfil e comece a fechar contratos com empresas ainda essa semana.\n\n✅ ACESSO IMEDIATO\n✅ MATERIAIS EDITÁVEIS\n✅ USE AINDA HOJE\n\nToque em Saiba Mais agora e leve o Kit Contrato Fechado.","Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.",4c93ff73c83352bf12887e9c51deb0ed,78442459f772c020ef3e644025829eba,,LEARN_MORE,302959204691352,true,23,1773284400,"utm_source=FB&utm_campaign={{campaign.name}}|{{campaign.id}}&utm_medium={{adset.name}}|{{adset.id}}&utm_content={{ad.name}}|{{ad.id}}&utm_term={{placement}}&vk_source=paid_metaads&vk_ad_id={{ad.id}}",VENDAS_COMPRA_KIT-NR-1_MAR-26_AD01,[KIT NR-1] AD01
VENDAS_COMPRA_KIT-NR-1_MAR-26_AD02,sales,50,https://metodobelieve.com.br/kit-nr-1/,"Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.","PARE DE TRAVAR NA HORA DE VENDER NR-1 PARA EMPRESAS.\n\nUse o meu kit profissional pronto para abordar, apresentar, precificar e fechar contratos com as empresas.\n\nCopie a minha estrutura validada de vendas, ajuste para o seu perfil e comece a fechar contratos com empresas ainda essa semana.\n\n✅ ACESSO IMEDIATO\n✅ MATERIAIS EDITÁVEIS\n✅ USE AINDA HOJE\n\nToque em Saiba Mais agora e leve o Kit Contrato Fechado.","Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.",4aed59bcb720d6290078fdd9c1b56b81,f32a5a44ab8eb789b78b322f5654913d,,LEARN_MORE,302959204691352,true,23,1773284400,"utm_source=FB&utm_campaign={{campaign.name}}|{{campaign.id}}&utm_medium={{adset.name}}|{{adset.id}}&utm_content={{ad.name}}|{{ad.id}}&utm_term={{placement}}&vk_source=paid_metaads&vk_ad_id={{ad.id}}",VENDAS_COMPRA_KIT-NR-1_MAR-26_AD02,[KIT NR-1] AD02
VENDAS_COMPRA_KIT-NR-1_MAR-26_AD03,sales,50,https://metodobelieve.com.br/kit-nr-1/,"Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.","PARE DE TRAVAR NA HORA DE VENDER NR-1 PARA EMPRESAS.\n\nUse o meu kit profissional pronto para abordar, apresentar, precificar e fechar contratos com as empresas.\n\nCopie a minha estrutura validada de vendas, ajuste para o seu perfil e comece a fechar contratos com empresas ainda essa semana.\n\n✅ ACESSO IMEDIATO\n✅ MATERIAIS EDITÁVEIS\n✅ USE AINDA HOJE\n\nToque em Saiba Mais agora e leve o Kit Contrato Fechado.","Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.",c59aed6e6a0b6efc5e08eec92c4447b6,c7bcf72ea6d2d117f7f39c24687c6d06,,LEARN_MORE,302959204691352,true,23,1773284400,"utm_source=FB&utm_campaign={{campaign.name}}|{{campaign.id}}&utm_medium={{adset.name}}|{{adset.id}}&utm_content={{ad.name}}|{{ad.id}}&utm_term={{placement}}&vk_source=paid_metaads&vk_ad_id={{ad.id}}",VENDAS_COMPRA_KIT-NR-1_MAR-26_AD03,[KIT NR-1] AD03
VENDAS_COMPRA_KIT-NR-1_MAR-26_AD04,sales,50,https://metodobelieve.com.br/kit-nr-1/,"Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.","PARE DE TRAVAR NA HORA DE VENDER NR-1 PARA EMPRESAS.\n\nUse o meu kit profissional pronto para abordar, apresentar, precificar e fechar contratos com as empresas.\n\nCopie a minha estrutura validada de vendas, ajuste para o seu perfil e comece a fechar contratos com empresas ainda essa semana.\n\n✅ ACESSO IMEDIATO\n✅ MATERIAIS EDITÁVEIS\n✅ USE AINDA HOJE\n\nToque em Saiba Mais agora e leve o Kit Contrato Fechado.","Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.",77cd96cd73508ce2ffcf3b46cf354484,0ab9d5f4874d0a6c5ff179f24a1bef8f,,LEARN_MORE,302959204691352,true,23,1773284400,"utm_source=FB&utm_campaign={{campaign.name}}|{{campaign.id}}&utm_medium={{adset.name}}|{{adset.id}}&utm_content={{ad.name}}|{{ad.id}}&utm_term={{placement}}&vk_source=paid_metaads&vk_ad_id={{ad.id}}",VENDAS_COMPRA_KIT-NR-1_MAR-26_AD04,[KIT NR-1] AD04
VENDAS_COMPRA_KIT-NR-1_MAR-26_AD05,sales,50,https://metodobelieve.com.br/kit-nr-1/,"Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.","PARE DE TRAVAR NA HORA DE VENDER NR-1 PARA EMPRESAS.\n\nUse o meu kit profissional pronto para abordar, apresentar, precificar e fechar contratos com as empresas.\n\nCopie a minha estrutura validada de vendas, ajuste para o seu perfil e comece a fechar contratos com empresas ainda essa semana.\n\n✅ ACESSO IMEDIATO\n✅ MATERIAIS EDITÁVEIS\n✅ USE AINDA HOJE\n\nToque em Saiba Mais agora e leve o Kit Contrato Fechado.","Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.",e30671fefda8eb27568b87f6957685a8,4f9e28d25ac7e2acb509d32ec44d653d,,LEARN_MORE,302959204691352,true,23,1773284400,"utm_source=FB&utm_campaign={{campaign.name}}|{{campaign.id}}&utm_medium={{adset.name}}|{{adset.id}}&utm_content={{ad.name}}|{{ad.id}}&utm_term={{placement}}&vk_source=paid_metaads&vk_ad_id={{ad.id}}",VENDAS_COMPRA_KIT-NR-1_MAR-26_AD05,[KIT NR-1] AD05
VENDAS_COMPRA_KIT-NR-1_MAR-26_AD06,sales,50,https://metodobelieve.com.br/kit-nr-1/,"Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.","PARE DE TRAVAR NA HORA DE VENDER NR-1 PARA EMPRESAS.\n\nUse o meu kit profissional pronto para abordar, apresentar, precificar e fechar contratos com as empresas.\n\nCopie a minha estrutura validada de vendas, ajuste para o seu perfil e comece a fechar contratos com empresas ainda essa semana.\n\n✅ ACESSO IMEDIATO\n✅ MATERIAIS EDITÁVEIS\n✅ USE AINDA HOJE\n\nToque em Saiba Mais agora e leve o Kit Contrato Fechado.","Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.",54176b292c32a1b697e865f4ea4d9e3d,6cf4ebd8556b659aa4c425cc515f0d4f,,LEARN_MORE,302959204691352,true,23,1773284400,"utm_source=FB&utm_campaign={{campaign.name}}|{{campaign.id}}&utm_medium={{adset.name}}|{{adset.id}}&utm_content={{ad.name}}|{{ad.id}}&utm_term={{placement}}&vk_source=paid_metaads&vk_ad_id={{ad.id}}",VENDAS_COMPRA_KIT-NR-1_MAR-26_AD06,[KIT NR-1] AD06
VENDAS_COMPRA_KIT-NR-1_MAR-26_AD07,sales,50,https://metodobelieve.com.br/kit-nr-1/,"Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.","PARE DE TRAVAR NA HORA DE VENDER NR-1 PARA EMPRESAS.\n\nUse o meu kit profissional pronto para abordar, apresentar, precificar e fechar contratos com as empresas.\n\nCopie a minha estrutura validada de vendas, ajuste para o seu perfil e comece a fechar contratos com empresas ainda essa semana.\n\n✅ ACESSO IMEDIATO\n✅ MATERIAIS EDITÁVEIS\n✅ USE AINDA HOJE\n\nToque em Saiba Mais agora e leve o Kit Contrato Fechado.","Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.",e2064dd89533f854f667413b53c4b8b6,50a38684ecbc1855749d88fea146d5ec,,LEARN_MORE,302959204691352,true,23,1773284400,"utm_source=FB&utm_campaign={{campaign.name}}|{{campaign.id}}&utm_medium={{adset.name}}|{{adset.id}}&utm_content={{ad.name}}|{{ad.id}}&utm_term={{placement}}&vk_source=paid_metaads&vk_ad_id={{ad.id}}",VENDAS_COMPRA_KIT-NR-1_MAR-26_AD07,[KIT NR-1] AD07
VENDAS_COMPRA_KIT-NR-1_MAR-26_AD08,sales,50,https://metodobelieve.com.br/kit-nr-1/,"Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.","PARE DE TRAVAR NA HORA DE VENDER NR-1 PARA EMPRESAS.\n\nUse o meu kit profissional pronto para abordar, apresentar, precificar e fechar contratos com as empresas.\n\nCopie a minha estrutura validada de vendas, ajuste para o seu perfil e comece a fechar contratos com empresas ainda essa semana.\n\n✅ ACESSO IMEDIATO\n✅ MATERIAIS EDITÁVEIS\n✅ USE AINDA HOJE\n\nToque em Saiba Mais agora e leve o Kit Contrato Fechado.","Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.",37db113742263f360bfbefb49f4640b4,47e1a2cb9aa657656b94fbbbfc305cf7,,LEARN_MORE,302959204691352,true,23,1773284400,"utm_source=FB&utm_campaign={{campaign.name}}|{{campaign.id}}&utm_medium={{adset.name}}|{{adset.id}}&utm_content={{ad.name}}|{{ad.id}}&utm_term={{placement}}&vk_source=paid_metaads&vk_ad_id={{ad.id}}",VENDAS_COMPRA_KIT-NR-1_MAR-26_AD08,[KIT NR-1] AD08
VENDAS_COMPRA_KIT-NR-1_MAR-26_AD09,sales,50,https://metodobelieve.com.br/kit-nr-1/,"Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.","PARE DE TRAVAR NA HORA DE VENDER NR-1 PARA EMPRESAS.\n\nUse o meu kit profissional pronto para abordar, apresentar, precificar e fechar contratos com as empresas.\n\nCopie a minha estrutura validada de vendas, ajuste para o seu perfil e comece a fechar contratos com empresas ainda essa semana.\n\n✅ ACESSO IMEDIATO\n✅ MATERIAIS EDITÁVEIS\n✅ USE AINDA HOJE\n\nToque em Saiba Mais agora e leve o Kit Contrato Fechado.","Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.",0cf6f28752b606d6b40ceb6d7f54e187,a46228473d5cbddea80c5f93222700ea,,LEARN_MORE,302959204691352,true,23,1773284400,"utm_source=FB&utm_campaign={{campaign.name}}|{{campaign.id}}&utm_medium={{adset.name}}|{{adset.id}}&utm_content={{ad.name}}|{{ad.id}}&utm_term={{placement}}&vk_source=paid_metaads&vk_ad_id={{ad.id}}",VENDAS_COMPRA_KIT-NR-1_MAR-26_AD09,[KIT NR-1] AD09
VENDAS_COMPRA_KIT-NR-1_MAR-26_AD10,sales,50,https://metodobelieve.com.br/kit-nr-1/,"Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.","PARE DE TRAVAR NA HORA DE VENDER NR-1 PARA EMPRESAS.\n\nUse o meu kit profissional pronto para abordar, apresentar, precificar e fechar contratos com as empresas.\n\nCopie a minha estrutura validada de vendas, ajuste para o seu perfil e comece a fechar contratos com empresas ainda essa semana.\n\n✅ ACESSO IMEDIATO\n✅ MATERIAIS EDITÁVEIS\n✅ USE AINDA HOJE\n\nToque em Saiba Mais agora e leve o Kit Contrato Fechado.","Use um kit pronto para abordar, apresentar, precificar e fechar contratos de NR-1.",dc7f01752ffee542f81911477d51cec7,75faa840a97dcf4418ab880e3dbea04e,,LEARN_MORE,302959204691352,true,23,1773284400,"utm_source=FB&utm_campaign={{campaign.name}}|{{campaign.id}}&utm_medium={{adset.name}}|{{adset.id}}&utm_content={{ad.name}}|{{ad.id}}&utm_term={{placement}}&vk_source=paid_metaads&vk_ad_id={{ad.id}}",VENDAS_COMPRA_KIT-NR-1_MAR-26_AD10,[KIT NR-1] AD10
